Data;Segundos
03/08/2023;228
04/08/2023;208
05/08/2023;105
06/08/2023;215
07/08/2023;263
08/08/2023;167
09/08/2023;136
10/08/2023;129
11/08/2023;167
12/08/2023;180
13/08/2023;207
14/08/2023;179
15/08/2023;112
16/08/2023;136
17/08/2023;108
18/08/2023;148
19/08/2023;121
20/08/2023;193
21/08/2023;154
22/08/2023;106
23/08/2023;146
24/08/2023;115
25/08/2023;219
26/08/2023;149
27/08/2023;167
28/08/2023;303
29/08/2023;279
30/08/2023;224
31/08/2023;136
01/09/2023;183
02/09/2023;147
03/09/2023;121
04/09/2023;147
05/09/2023;217
06/09/2023;138
07/09/2023;170
08/09/2023;174
09/09/2023;270
10/09/2023;261
11/09/2023;286
12/09/2023;173
13/09/2023;156
14/09/2023;208
15/09/2023;162
16/09/2023;125
17/09/2023;168
18/09/2023;147
19/09/2023;114
20/09/2023;147
21/09/2023;287
22/09/2023;165
23/09/2023;232
24/09/2023;196
25/09/2023;221
26/09/2023;139
27/09/2023;119
28/09/2023;147
29/09/2023;170
30/09/2023;135
01/10/2023;142
02/10/2023;119
03/10/2023;141
04/10/2023;93
05/10/2023;180
06/10/2023;125
07/10/2023;153
08/10/2023;92
09/10/2023;118
10/10/2023;138
11/10/2023;134
12/10/2023;149
13/10/2023;148
14/10/2023;118
15/10/2023;211
16/10/2023;127
17/10/2023;164
18/10/2023;150
19/10/2023;134
20/10/2023;115
21/10/2023;160
22/10/2023;113
23/10/2023;114
24/10/2023;125
25/10/2023;170
26/10/2023;151
27/10/2023;175
28/10/2023;61
29/10/2023;97
30/10/2023;86
31/10/2023;97
01/11/2023;104
02/11/2023;127
03/11/2023;105
04/11/2023;64
05/11/2023;108
06/11/2023;121
07/11/2023;151
08/11/2023;156
09/11/2023;191
10/11/2023;114
11/11/2023;154
12/11/2023;168
13/11/2023;183
14/11/2023;145
15/11/2023;138
16/11/2023;109
17/11/2023;205
18/11/2023;141
19/11/2023;212
20/11/2023;177
21/11/2023;202
22/11/2023;157
23/11/2023;168
24/11/2023;140
25/11/2023;155
26/11/2023;192
27/11/2023;168
28/11/2023;147
29/11/2023;127
30/11/2023;155
01/12/2023;148
02/12/2023;218
03/12/2023;101
