Extenso;Final;Consulta;QTD;Tipo;Data_Inicio;Data_Fim;Semana
20240127;20240203;Consultas Especiais;54;Especiais;27/01/2024;03/02/2024;1
20240127;20240203;30 Adversários que mais jogamos;4;Adv mais jogos;27/01/2024;03/02/2024;1
20240127;20240203;Fluminense x Boavista;4;Adversário;27/01/2024;03/02/2024;1
20240127;20240203;Luso Brasileiro;4;Estadio;27/01/2024;03/02/2024;1
20240127;20240203;Evolução Bangu;2;Evolução;27/01/2024;03/02/2024;1
20240127;20240203;30 Estádios onde mais jogamos;1;Estadio mais jogos;27/01/2024;03/02/2024;1
20240127;20240203;Artilheiros no Carioca;1;Artilheiros;27/01/2024;03/02/2024;1
20240204;20240210;Consultas Especiais;72;Especiais;04/02/2024;10/02/2024;2
20240204;20240210;Fluminense x Boavista;7;Adversário;04/02/2024;10/02/2024;2
20240204;20240210;Fluminense x Vasco;4;Adversário;04/02/2024;10/02/2024;2
20240204;20240210;German Cano;4;Jogador;04/02/2024;10/02/2024;2
20240204;20240210;Ranking de Campanhas;3;Campanhas;04/02/2024;10/02/2024;2
20240204;20240210;Artilheiros contra Vasco;3;Artilheiros;04/02/2024;10/02/2024;2
20240204;20240210;Elcyr Mendonça;2;Estadio;04/02/2024;10/02/2024;2
20240204;20240210;Frequência de Placar no Elcyr Mendonça;2;Frequencia;04/02/2024;10/02/2024;2
20240204;20240210;Maracanã;2;Estadio;04/02/2024;10/02/2024;2
20240211;20240217;Consultas Especiais;51;Especiais;11/02/2024;17/02/2024;3
20240211;20240217;Fluminense x Vasco;14;Adversário;11/02/2024;17/02/2024;3
20240211;20240217;30 Adversários que mais jogamos;3;Adv mais jogos;11/02/2024;17/02/2024;3
20240211;20240217;Evolução Vasco;2;Evolução;11/02/2024;17/02/2024;3
20240211;20240217;Maiores Públicos Clássicos;2;Publico;11/02/2024;17/02/2024;3
20240211;20240217;Maracanã;1;Estadio;11/02/2024;17/02/2024;3
20240218;20240224;Consultas Especiais;34;Especiais;18/02/2024;24/02/2024;4
20240218;20240224;Fluminense x LDU;21;Adversário;18/02/2024;24/02/2024;4
20240218;20240224;Casa Blanca;8;Estadio;18/02/2024;24/02/2024;4
20240218;20240224;Fluminense x Flamengo;6;Adversário;18/02/2024;24/02/2024;4
20240218;20240224;German Cano - Gols por adversario;4;Golsadv;18/02/2024;24/02/2024;4
20240218;20240224;30 Adversários que mais jogamos;3;Adv mais jogos;18/02/2024;24/02/2024;4
20240218;20240224;Evolução Flamengo;2;Evolução;18/02/2024;24/02/2024;4
20240218;20240224;Evolução LDU;2;Evolução;18/02/2024;24/02/2024;4
20240218;20240224;Maiores Públicos Clássicos;2;Publico;18/02/2024;24/02/2024;4
20240218;20240224;Fluminense x Vasco;1;Adversário;18/02/2024;24/02/2024;4
20240225;20240302;Consultas Especiais;61;Especiais;25/02/2024;02/03/2024;5
20240225;20240302;Especiais Adversarios;3;Especiais;25/02/2024;02/03/2024;5
20240225;20240302;German Cano - Gols por estadio;3;Golsest;25/02/2024;02/03/2024;5
20240225;20240302;Maracanã;3;Estadio;25/02/2024;02/03/2024;5
20240225;20240302;German Cano - Gols por adversario;2;Golsadv;25/02/2024;02/03/2024;5
20240225;20240302;30 Adversários que mais jogamos;1;Adv mais jogos;25/02/2024;02/03/2024;5
20240225;20240302;Artilheiros no Carioca;1;Artilheiros;25/02/2024;02/03/2024;5
20240225;20240302;Fluminense x LDU;1;Adversário;25/02/2024;02/03/2024;5
20240303;20240309;Consultas Especiais;29;Especiais;03/03/2024;09/03/2024;6
20240303;20240309;Especiais Jogadores;14;Especiais;03/03/2024;09/03/2024;6
20240303;20240309;Especiais Classicos;7;Especiais;03/03/2024;09/03/2024;6
20240303;20240309;Especiais Adversarios;6;Especiais;03/03/2024;09/03/2024;6
20240303;20240309;Especiais Historico;6;Especiais;03/03/2024;09/03/2024;6
20240303;20240309;Especiais Tecnicos;6;Especiais;03/03/2024;09/03/2024;6
20240303;20240309;30 Adversários que mais jogamos;3;Adv mais jogos;03/03/2024;09/03/2024;6
20240303;20240309;Especiais Gols e Penalties;3;Especiais;03/03/2024;09/03/2024;6
20240303;20240309;German Cano - Gols por adversario;1;Golsadv;03/03/2024;09/03/2024;6
20240310;20240317;Especiais Adversarios;14;Especiais;10/03/2024;17/03/2024;7
20240310;20240317;Especiais Jogadores;13;Especiais;10/03/2024;17/03/2024;7
20240310;20240317;Especiais Historico;6;Especiais;10/03/2024;17/03/2024;7
20240310;20240317;Especiais Classicos;5;Especiais;10/03/2024;17/03/2024;7
20240310;20240317;Especiais Gols e Penalties;5;Especiais;10/03/2024;17/03/2024;7
20240310;20240317;Especiais Placares;4;Especiais;10/03/2024;17/03/2024;7
20240310;20240317;Evolução Flamengo;4;Adversário;10/03/2024;17/03/2024;7
20240310;20240317;30 Adversários que mais jogamos;2;Adv mais jogos;10/03/2024;17/03/2024;7
20240310;20240317;Especiais Jogos Eliminatorios;2;Especiais;10/03/2024;17/03/2024;7
20240310;20240317;Artilheiros contra Flamengo;1;Artilheiros;10/03/2024;17/03/2024;7
20240318;20240324;Fluminense x Alianza Lima;11;Adversário;18/03/2024;24/03/2024;8
20240318;20240324;Especiais Jogos;7;Especiais;18/03/2024;24/03/2024;8
20240318;20240324;Libertadores da América;7;Campeonato;18/03/2024;24/03/2024;8
20240318;20240324;Especiais Campeonatos;5;Especiais;18/03/2024;24/03/2024;8
20240318;20240324;Especiais Jogadores;5;Especiais;18/03/2024;24/03/2024;8
20240318;20240324;Especiais Adversarios;4;Especiais;18/03/2024;24/03/2024;8
20240318;20240324;30 Adversários que mais jogamos;3;Adversário;18/03/2024;24/03/2024;8
20240318;20240324;Especiais Classicos;1;Especiais;18/03/2024;24/03/2024;8
20240318;20240324;Especiais Historico;1;Especiais;18/03/2024;24/03/2024;8
20240318;20240324;Especiais Jogos Eliminatorios;1;Especiais;18/03/2024;24/03/2024;8
20240325;20240331;Especiais Historico;5;Especiais;25/03/2024;31/03/2024;9
20240325;20240331;Especiais Campeonatos;3;Especiais;25/03/2024;31/03/2024;9
20240325;20240331;Especiais Adversarios;3;Especiais;25/03/2024;31/03/2024;9
20240325;20240331;Fluminense x Alianza Lima;8;Adversário;25/03/2024;31/03/2024;9
20240325;20240331;Moura Costa 1926;2;Jogador;25/03/2024;31/03/2024;9
20240325;20240331;Assis 1987;1;Jogador;25/03/2024;31/03/2024;9
20240325;20240331;Especiais Jogadores;1;Especiais;25/03/2024;31/03/2024;9
20240325;20240331;Especiais Jogo;1;Especiais;25/03/2024;31/03/2024;9
20240401;20240407;Especiais Jogadores;18;Especiais;01/04/2024;07/04/2024;10
20240401;20240407;Fluminense x Alianza Lima;13;Adversário;01/04/2024;07/04/2024;10
20240401;20240407;Especiais Campeonatos;10;Especiais;01/04/2024;07/04/2024;10
20240401;20240407;Especiais Adversarios;4;Especiais;01/04/2024;07/04/2024;10
20240401;20240407;Fluminense x Colo Colo;4;Adversário;01/04/2024;07/04/2024;10
20240401;20240407;Especiais Historico;3;Especiais;01/04/2024;07/04/2024;10
20240401;20240407;Especiais Jogos;2;Especiais;01/04/2024;07/04/2024;10
20240401;20240407;Menores Públicos;2;Público;01/04/2024;07/04/2024;10
20240401;20240407;Assis 1987;1;Jogador;01/04/2024;07/04/2024;10
20240408;20240414;Especiais Jogadores;24;Especiais;08/04/2024;14/04/2024;11
20240408;20240414;Fluminense x Colo Colo;19;Adversário;08/04/2024;14/04/2024;11
20240408;20240414;Fluminense x Bragantino;16;Adversário;08/04/2024;14/04/2024;11
20240408;20240414;Especiais Campeonatos;9;Especiais;08/04/2024;14/04/2024;11
20240408;20240414;Patrocinio das Camisas;9;Patrocinio;08/04/2024;14/04/2024;11
20240408;20240414;Especias Jogos;6;Especiais;08/04/2024;14/04/2024;11
20240408;20240414;Especiais Adversarios;5;Especiais;08/04/2024;14/04/2024;11
20240408;20240414;Especiais Brasileirão;2;Especiais;08/04/2024;14/04/2024;11
20240415;20240421;Especiais Jogadores;17;Especiais;15/04/2024;21/04/2024;12
20240415;20240421;Especiais Adversarios;16;Especiais;15/04/2024;21/04/2024;12
20240415;20240421;Especiais Jogos;9;Especiais;15/04/2024;21/04/2024;12
20240415;20240421;Fluminense x Vasco;17;Adversário;15/04/2024;21/04/2024;12
20240415;20240421;Fluminense x Bahia;16;Adversário;15/04/2024;21/04/2024;12
20240415;20240421;Fonte Nova;5;Estádio;15/04/2024;21/04/2024;12
20240415;20240421;Brasileiro;3;Campeonato;15/04/2024;21/04/2024;12
20240415;20240421;Especiais Brasileirão;2;Especiais;15/04/2024;21/04/2024;12
20240415;20240421;Especiais Campeonatos;1;Especiais;15/04/2024;21/04/2024;12
20240422;20240428;Fluminense x Cerro Portenho;26;Adversário;22/04/2024;28/04/2024;13
20240422;20240428;Especiais Jogadores;13;Especiais;22/04/2024;28/04/2024;13
20240422;20240428;Fluminense x Corinthians;13;Adversário;22/04/2024;28/04/2024;13
20240422;20240428;Especiais Adversarios;10;Especiais;22/04/2024;28/04/2024;13
20240422;20240428;Especiais Estadios;8;Especiais;22/04/2024;28/04/2024;13
20240422;20240428;Especiais Campeonatos;4;Especiais;22/04/2024;28/04/2024;13
20240422;20240428;Especiais Jogos;3;Especiais;22/04/2024;28/04/2024;13
20240422;20240428;Especiais Brasileirão;1;Especiais;22/04/2024;28/04/2024;13
20240422;20240428;Fluminense x Vasco;1;Adversário;22/04/2024;28/04/2024;13
20240429;20240505;Fluminense x Sampaio Correa;22;Adversário;29/04/2024;05/05/2024;14
20240429;20240505;Especiais Jogadores;18;Especiais;29/04/2024;05/05/2024;14
20240429;20240505;Fluminense x Atlético MG;17;Adversário;29/04/2024;05/05/2024;14
20240429;20240505;Kleber Andrade;14;Estádio;29/04/2024;05/05/2024;14
20240429;20240505;Especiais Adversarios;7;Especiais;29/04/2024;05/05/2024;14
20240429;20240505;Especiais Estadios;4;Especiais;29/04/2024;05/05/2024;14
20240429;20240505;Especiais Campeonatos;3;Especiais;29/04/2024;05/05/2024;14
20240429;20240505;Especiais Brasileirão;2;Especiais;29/04/2024;05/05/2024;14
20240429;20240505;Especiais Jogos;1;Especiais;29/04/2024;05/05/2024;14
20240506;20240512;Especiais Jogadores;22;Especiais;06/05/2024;12/05/2024;15
20240506;20240512;Fluminense x Colo Colo;12;Adversário;06/05/2024;12/05/2024;15
20240506;20240512;Especiais jogos;9;Especiais;06/05/2024;12/05/2024;15
20240506;20240512;Fluminense x São Paulo;9;Adversário;06/05/2024;12/05/2024;15
20240506;20240512;Especiais Campeonatos;8;Especiais;06/05/2024;12/05/2024;15
20240506;20240512;Especiais Adversarios;7;Especiais;06/05/2024;12/05/2024;15
20240506;20240512;Morumbi;4;Estádio;06/05/2024;12/05/2024;15
20240506;20240512;Artilheiros na libertadores;3;Artilheiros;06/05/2024;12/05/2024;15
20240506;20240512;Especiais Estadios;1;Especiais;06/05/2024;12/05/2024;15
20240513;20240519;Especiais Jogadores;22;Especiais;13/05/2024;19/05/2024;16
20240513;20240519;Especiais Adversarios;18;Especiais;13/05/2024;19/05/2024;16
20240513;20240519;Fluminense x Cerro Portenho;14;Adversário;13/05/2024;19/05/2024;16
20240513;20240519;Contusões por ano;12;Jogador;13/05/2024;19/05/2024;16
20240513;20240519;Vitória nos 2 turnos;8;Campeonato;13/05/2024;19/05/2024;16
20240513;20240519;Especiais Tecnicos;7;Especiais;13/05/2024;19/05/2024;16
20240513;20240519;Especiais Jogos;6;Especiais;13/05/2024;19/05/2024;16
20240513;20240519;Fluminense x São Paulo;6;Adversário;13/05/2024;19/05/2024;16
20240513;20240519;Morumbi;1;Estadio;13/05/2024;19/05/2024;16
20240520;20240526;Especiais Jogadores;22;Especiais;20/05/2024;26/05/2024;17
20240520;20240526;Especiais Técnico;15;Especiais;20/05/2024;26/05/2024;17
20240520;20240526;Fluminense x Sampaio Correa;14;Adversário;20/05/2024;26/05/2024;17
20240520;20240526;Especiais Adversarios;13;Especiais;20/05/2024;26/05/2024;17
20240520;20240526;Especiais Gols e Penalties;7;Especiais;20/05/2024;26/05/2024;17
20240520;20240526;Fluminense x Alianza Lima;5;Adversário;20/05/2024;26/05/2024;17
20240520;20240526;Especiais Jogos;4;Especiais;20/05/2024;26/05/2024;17
20240520;20240526;Vitória nos 2 turnos;3;Brasileiro;20/05/2024;26/05/2024;17
20240520;20240526;Especiais Campeonatos;1;Especiais;20/05/2024;26/05/2024;17
20240527;20240602;Especiais Jogadores;36;Especiais;27/05/2024;02/06/2024;18
20240527;20240602;Fluminense x Alianza Lima;18;Adversário;27/05/2024;02/06/2024;18
20240527;20240602;Fluminense x Juventude;18;Adversário;27/05/2024;02/06/2024;18
20240527;20240602;Especiais Jogos;12;Especiais;27/05/2024;02/06/2024;18
20240527;20240602;Especiais Tecnicos;8;Especiais;27/05/2024;02/06/2024;18
20240527;20240602;Especiais Campeonatos;5;Especiais;27/05/2024;02/06/2024;18
20240527;20240602;Tecnicos com mais títulos;5;Tecnicos;27/05/2024;02/06/2024;18
20240527;20240602;Especiais Adversarios;4;Especiais;27/05/2024;02/06/2024;18
20240527;20240602;Especiais Estadios;4;Especiais;27/05/2024;02/06/2024;18
20240527;20240602;Nery 1911;4;Jogador;27/05/2024;02/06/2024;18
